11	1552825	20130525
11	1610427	20130526
11	1831640	20130527
11	1533585	20130528
11	1749835	20130529
11	1070891	20130530
11	2033392	20130531
11	1177203	20130601
11	1796474	20130602
11	1122074	20130603
11	2163469	20130604
11	1666061	20130605
11	1232986	20130606
11	2280340	20130607
11	1141913	20130608
11	1512689	20130609
11	1859929	20130610
11	1148156	20130611
11	2099726	20130612
11	1156014	20130613
11	2389893	20130614
11	1229647	20130615
11	1935544	20130616
11	6406423	20130617
11	6465299	20130618
11	7808371	20130619
11	6678250	20130623
12	1240400	20130525
12	1257364	20130526
12	1497450	20130527
12	1221188	20130528
12	1399620	20130529
12	839442	20130530
12	1680855	20130531
12	905851	20130601
12	1485266	20130602
12	875829	20130603
12	1805016	20130604
12	1049711	20130605
12	974314	20130606
12	1849560	20130607
12	896558	20130608
12	1082747	20130609
12	1549969	20130610
12	881047	20130611
12	1755980	20130612
12	883642	20130613
12	2024109	20130614
12	967229	20130615
12	1555165	20130616
12	3777924	20130617
12	3179576	20130618
12	4647554	20130619
12	3148466	20130623
13	1230832	20130525
13	1237728	20130526
13	1494074	20130527
13	1216097	20130528
13	1403296	20130529
13	843084	20130530
13	1677542	20130531
13	904255	20130601
13	1484333	20130602
13	879616	20130603
13	1807306	20130604
13	1049579	20130605
13	973927	20130606
13	1852226	20130607
13	898135	20130608
13	1081760	20130609
13	1551785	20130610
13	882428	20130611
13	1753903	20130612
13	883608	20130613
13	2031800	20130614
13	970580	20130615
13	1556319	20130616
13	3785811	20130617
13	3184202	20130618
13	4646438	20130619
13	3151909	20130623
14	1223586	20130525
14	1231845	20130526
14	1484222	20130527
14	1192019	20130528
14	1390814	20130529
14	840583	20130530
14	1656044	20130531
14	900625	20130601
14	1474130	20130602
14	873789	20130603
14	1776700	20130604
14	1048912	20130605
14	974113	20130606
14	1839936	20130607
14	895505	20130608
14	1074054	20130609
14	1537275	20130610
14	871123	20130611
14	1732374	20130612
14	879161	20130613
14	1997200	20130614
14	966198	20130615
14	1555477	20130616
14	3747094	20130617
14	3173650	20130618
